"DateID","Date","DateComment","YearID","SeasonID","s_ColLineage","s_Generation","s_GUID","s_Lineage"
1410796463,"2013-05-26 00:00:00",,13,2,,324,,
1410820843,"2013-06-06 00:00:00",,13,3,,324,,
1410974608,"2013-06-09 00:00:00",,13,3,,324,,
1402354975,"2013-06-10 00:00:00",,13,3,,324,,
817883051,"2013-06-23 00:00:00",,13,3,,324,,
1411490751,"2013-06-24 00:00:00",,13,3,,324,,
1411583839,"2013-06-27 00:00:00",,13,3,,324,,
1418671493,"2013-08-20 00:00:00",,13,3,,324,,
-75624831,"2013-08-21 00:00:00",,13,3,,324,,
-580622219,"2013-09-16 00:00:00",,13,4,,324,,
1421011392,"2013-09-17 00:00:00",,13,4,,324,,
1435804117,"2013-10-07 00:00:00","Mt recruitment is in full swing, often forming dense, monospecific sheets.  Very few diatom sheets remaining.  Mt seem to be recruiting into patches btwn Bg rather than on them.  Some Pp recruiting too (growing fast). Cthal starting too.",13,4,,325,,
-1161072853,"2013-10-08 00:00:00",,13,4,,325,,
-2066692649,"2013-11-04 00:00:00","overcast, light rain.  Barnacles sloughing off in patches (like mussels).  Myt tross continuing to increase in # and size.",13,4,,325,,
107552884,"2013-11-05 00:00:00",,13,4,,325,,
1822616677,"2013-12-03 00:00:00","Clear blue sky; cold! Mid-level waves.  Large sand/gravel influx high on the shore and in tidepools (Bridge channel is filled). Not much change to patches, although in most a new batch of Bglandula recruits has settled into the bare patches.",13,1,,325,,
2110914242,"2014-01-29 00:00:00","8 gulls + 3 oystercatchers; lots of sand on high shore & in channel; large waves & swell.  Only 3 new natural patches at N end of site, yet many experimental patches had barnacles removed back to bare rock; some entirely (see %cover estimates in notebook)",14,1,,325,,
-1311177875,"2014-02-26 00:00:00","partly cloudy & windy; large waves.  1 gull",14,1,,325,,
-1233549270,"2014-02-27 00:00:00","8 gulls on approach; overcast, moderate waves, low breeze, rain",14,1,,325,,
651867584,"2014-04-01 00:00:00","Dark, partly cloudy, no moon; strong breeze; No birds.  Second round of algal ""blooms""; Another large slug of sand up in the rocks.",14,2,,325,,
62681793,"2014-04-03 00:00:00","low swell & few waves; breezy; overcast",14,3,,325,,
1097390446,"2014-04-17 00:00:00","Training w/ Isaac, Julia & Kyle.  Raining, large waves",14,2,,325,,
1424971214,"2014-05-01 00:00:00","sunny clear sky, low swell, warm breeze",14,2,,325,,
1427991704,"2015-03-19 00:00:00","clear, sunny, mid swell. 0 gulls.",15,2,,325,,
410521709,"2015-03-20 00:00:00","overcast and rainy, strong S wind, large swell. 0 gulls.",15,2,,325,,
-151817814,"2014-05-03 00:00:00","overcast, strong wind, moderate swell",14,2,,325,,
1429900904,"2014-05-29 00:00:00","overcast, moderate swell",14,2,,325,,
1555045552,"2014-05-27 00:00:00","Clear sky, moderate swell.  Pisaster spawning",14,2,,325,,
1339119075,"2014-05-31 00:00:00","moderate swell, overcast, cold breeze",14,2,,325,,
1444845793,"2015-06-15 00:00:00","foggy, mid to large swell and waves.  Wind from N. 0 birds.  Pollicipes have grown significantly.",15,3,,0,,
68443011,"2015-06-16 00:00:00","overcast, cold breeze, low swell and waves",15,3,,0,,
840514008,"2015-06-17 00:00:00","clear sky, very low swell, no waves, 0 birds",15,3,,0,,
-1744604087,"2015-06-18 00:00:00","no waves, virtually no swell, overcast, N wind. 1 gull + 1 crow on arrival",15,3,,0,,
1445445450,"2015-07-13 00:00:00","overcast, breeze from N, low swell. Large influx of sand, esp. into bridge channel.",15,3,,0,,
